index,id,title,duration,duration_min,url,is_short_duration_le_60,categories
35,dd3O1yd1EaU,고양이 혼자 있을 때 진짜 위험한건 몇 박일까?ㅣ집사메이커 lv.15,206.0,3.43,https://www.youtube.com/watch?v=dd3O1yd1EaU,False,생활/돌봄
36,HhPN8V9sj0Y,구조된 야생 바다 아깽이의 충격적인 변화,691.0,11.52,https://www.youtube.com/watch?v=HhPN8V9sj0Y,False,건강/진료
37,FzKvvBD_O2g,고양이가 사람을 순위 매기는 기준(테스트 포함),412.0,6.87,https://www.youtube.com/watch?v=FzKvvBD_O2g,False,기타/엔터테인먼트
38,lzaO3_xXhC0,고양이는 왜 이렇게 양심이 없을까?,431.0,7.18,https://www.youtube.com/watch?v=lzaO3_xXhC0,False,기타/엔터테인먼트
39,fF9M9TvSl8Y,전기장판 틀어줘도 괜찮나요? 겨울에 고양이 케어 어떻게 해요?,415.0,6.92,https://www.youtube.com/watch?v=fF9M9TvSl8Y,False,기타/엔터테인먼트
40,L51rIushlRs,1가정 1고양이 필수😼수의사의 ‘야무진 고양이는 오늘도 우울’ 리뷰,511.0,8.52,https://www.youtube.com/watch?v=L51rIushlRs,False,건강/진료
41,nI_rZFGHYrg,[4hz] 고양이랑 꿀잠자는 주파수😴 효과보장! 매일 5분이면 고양이 귀가 자라난다,367.0,6.12,https://www.youtube.com/watch?v=nI_rZFGHYrg,False,기타/엔터테인먼트
42,TloIxKSFlyI,몇 명이랑 살아야 고양이는 만족할까? 1인가구 vs 다인가구ㅣ미야옹서베이,658.0,10.97,https://www.youtube.com/watch?v=TloIxKSFlyI,False,건강/진료
43,xJy9e6YAKn8,"미야옹철 2세 공개, 고양이와 아침, 요즘 하는 명상 소개, 그릭요거트 추천, 휴모님 없이 유튜브 촬영하는 vlog",692.0,11.53,https://www.youtube.com/watch?v=xJy9e6YAKn8,False,기타/엔터테인먼트
44,RpbEw4m5kj0,우리 집 고양이는 분리불안 몇 단계일까? 지금 당장 확인해보세요,519.0,8.65,https://www.youtube.com/watch?v=RpbEw4m5kj0,False,생활/돌봄
45,RYsuCT-QOUI,물 닿기 싫어 발가락 쫙 🐾그러고도 니가 바다고양이니?ㅣ미야옹톡 씨캣,617.0,10.28,https://www.youtube.com/watch?v=RYsuCT-QOUI,False,기타/엔터테인먼트
46,fYBMLg1bQ44,발톱통신 가속모드! 벽지 다 갈아엎는 고양이 인테리어 사장님,493.0,8.22,https://www.youtube.com/watch?v=fYBMLg1bQ44,False,건강/진료
47,I9-lFBPx2Vo,고양이는 그루밍 하니까 평생 안 씻어도 된다는데 정말일까?,878.0,14.63,https://www.youtube.com/watch?v=I9-lFBPx2Vo,False,기타/엔터테인먼트
48,RKpQal996NI,"‘다시 길로 돌려보냈다’는 말, 그게 가장 잔인한 변명입니다",252.0,4.2,https://www.youtube.com/watch?v=RKpQal996NI,False,건강/진료
49,YENHP5n2Fl0,처음 본 고양이랑 친해지는 방법,327.0,5.45,https://www.youtube.com/watch?v=YENHP5n2Fl0,False,기타/엔터테인먼트
50,8C29y2QRaK4,"추석에 고양이 두고갈까, 데려갈까? 딱 정해드림",2070.0,34.5,https://www.youtube.com/watch?v=8C29y2QRaK4,False,기타/엔터테인먼트
51,dyuAWs2KKjk,고양이 임보 중 최고 난이도는? 케이스별 임보 가이드 총집합,549.0,9.15,https://www.youtube.com/watch?v=dyuAWs2KKjk,False,생활/돌봄
